id	gloss	text
1189	MORNING DOCTOR WALK Q	Does the doctor walk in the morning?
1190	IF MORNING PT_PRO3 STUDY THEN PT_PRO3 GOOD	If they study, then they are good.
1191	NOW FRIEND NOT RUN	My friend does not run now.
1192	AFTERNOON COACH MUST RUN	The coach must run in the afternoon.
1193	TODAY PT_PRO2 CAN COOK	You can cook today.
1194	WEEKEND PT_PRO1 STUDY	I study on the weekend.
1195	PT_PRO2 NOT GO BUS-STOP	You do not go to the bus stop.
1196	WHY PT_PRO3 TRAIN Q	Why Do they train on the weekend?
1197	TODAY PT_PRO1 NOT LISTEN PODCAST	I do not listen to a podcast today.
1198	WHERE PT_PRO2 GO Q	Where Do you go now?
1199	WHY PT_PRO1 TRAIN Q	Why Will I train tomorrow?
1200	TOMORROW MAN NOT EMAIL NEIGHBOUR	The man will not email my neighbour tomorrow.
1201	NEXT-WEEK PT_PRO1 BAD	I will be bad next week.
1202	PT_PRO3 NOT LISTEN PODCAST	They do not listen to a podcast.
1203	LAST-WEEK DOCTOR SAD	The doctor was sad last week.
1204	NOW WOMAN PRACTISE	The woman practises now.
1205	AFTERNOON PT_PRO2 MUST PRACTISE FAST	You must practise in the afternoon quickly.
1206	NIGHT PT_PRO1 BUY EMAIL	I buy an email at night.
1207	AFTERNOON PT_PRO2 WATCH PODCAST	You watch a podcast in the afternoon.
1208	TOMORROW STUDENT WANT NOT PRACTISE	The student does not want to practise tomorrow.
1209	MORNING PT_PRO1 MEET TEACHER	I meet my teacher in the morning.
1210	WHAT PT_PRO2 READ Q	What Will you read next week?
1211	TODAY TEACHER COME SHOP	The teacher comes to the shop today.
1212	YESTERDAY PT_PRO1 SEE EMAIL	I saw an email yesterday.
1213	WHAT PT_PRO1 BUY Q	What Do I buy today?
1214	PT_PRO2 SEE CAR	You see a car.
1215	AFTERNOON PT_PRO2 SLEEP	You sleep in the afternoon.
1216	MORNING PT_PRO1 WORK SOMETIMES	I work in the morning sometimes.
1217	LAST-WEEK PT_PRO2 READ SHOES	You read shoes last week.
1218	WHY PT_PRO3 TRAIN Q	Why Do they train now?
1219	IF MORNING PT_PRO2 TRAIN THEN PT_PRO2 COLD	If you train, then you are cold.
1220	TODAY FRIEND HAPPY	My friend is happy today.
1221	TOMORROW PT_PRO2 GO GYM	You will go to the gym tomorrow.
1222	WHY PT_PRO3 GO Q	Why Will they go next week?
1223	NOW PT_PRO3 MUST RUN Q	They must run now?
1224	NOW PT_PRO2 TRAIN Q	Do you train now?
1225	LAST-WEEK CHILD TIRED	The child was tired last week.
1226	NIGHT PT_PRO2 WORK SOMETIMES Q	Do you work at night sometimes?
1227	NEXT-WEEK PT_PRO1 SLEEP Q	Will I sleep next week?
1228	YESTERDAY PT_PRO2 NOT BUY SHOES SOMETIMES	You did not buy shoes yesterday sometimes.
1229	NOW PT_PRO2 HAPPY	You are happy now.
1230	TOMORROW PT_PRO2 GO BEACH Q	Will you go to the beach tomorrow?
1231	WHY PT_PRO3 STUDY Q	Why Do they study in the morning?
1232	WEEKEND CHILD TIRED	The child is tired on the weekend.
1233	WHEN PT_PRO1 TEXT COACH Q	When Do I text?
1234	PT_PRO1 NOT READ BOOK	I do not read a book.
1235	NOW CHILD SLEEP	The child sleeps now.
1236	PT_PRO1 TIRED	I am tired.
1237	YESTERDAY PT_PRO1 NOT LISTEN MUSIC	I did not listen to music yesterday.
1238	NIGHT PT_PRO2 LISTEN MOVIE Q	Do you listen to a movie at night?
1239	WEEKEND MAN NOT CLEAN	The man does not clean on the weekend.
1240	AFTERNOON NEIGHBOUR SLEEP	The neighbour sleeps in the afternoon.
1241	TODAY PT_PRO1 BAD	I am bad today.
1242	TOMORROW PT_PRO1 CAN WORK	I can work tomorrow.
1243	AFTERNOON PT_PRO1 READY	I am ready in the afternoon.
1244	LAST-WEEK PT_PRO2 CLEAN	You cleaned last week.
1245	TODAY COACH LISTEN MUSIC	The coach listens to music today.
1246	NEXT-WEEK TEACHER NOT COOK	The teacher will not cook next week.
1247	NEXT-WEEK PT_PRO1 WATCH MOVIE	I will watch a movie next week.
1248	WHY PT_PRO3 TRAIN Q	Why Will they train next week?
1249	WHEN PT_PRO3 WALK Q	When Do they walk today?
1250	YESTERDAY MAN WORK	The man worked yesterday.
1251	WHEN PT_PRO1 SLEEP Q	When Do I sleep in the morning?
1252	WEEKEND PT_PRO2 NOT READ KEY	You do not read my keys on the weekend.
1253	NIGHT PT_PRO3 NOT COOK	They do not cook at night.
1254	AFTERNOON PT_PRO2 NOT WAKE-UP	You do not wake up in the afternoon.
1255	YESTERDAY PT_PRO1 SEE BOOK RARELY Q	Did I see a book yesterday rarely?
1256	NEXT-WEEK COACH NOT BUY KEY	The coach will not buy my keys next week.
1257	NEXT-WEEK PT_PRO1 WANT EAT PIZZA	I want to eat pizza next week.
1258	TOMORROW PT_PRO3 COOK	They will cook tomorrow.
1259	YESTERDAY PT_PRO1 EAT PIZZA	I ate pizza yesterday.
1260	YESTERDAY STUDENT WORK	The student worked yesterday.
1261	WHEN CHILD CALL TEACHER Q	When Does the child call at night?
1262	MORNING NEIGHBOUR TEXT DAD	The neighbour texts my dad in the morning.
1263	AFTERNOON STUDENT WANT NOT MEET NEIGHBOUR	The student does not want to meet my neighbour in the afternoon.
1264	NOW PT_PRO1 NOT COME CITY	I do not come to the city now.
1265	AFTERNOON PT_PRO3 MUST NOT HELP DAD	They must not help my dad in the afternoon.
1266	NEXT-WEEK PT_PRO3 WAKE-UP	They will wake up next week.
1267	TODAY PT_PRO1 EMAIL COACH	I email my coach today.
1268	NEXT-WEEK PT_PRO1 CALL COACH	I will call my coach next week.
1269	WHAT STUDENT EAT Q	What Does the student eat today?
1270	YESTERDAY PT_PRO3 WORK	They worked yesterday.
1271	WEEKEND CHILD HELP MUM	The child helps my mum on the weekend.
1272	TODAY PT_PRO2 TEXT COACH SLOW	You text my coach today slowly.
1273	TOMORROW CHILD NOT TRAIN	The child will not train tomorrow.
1274	LAST-WEEK CHILD CALL MUM Q	Did the child call my mum last week?
1275	MORNING PT_PRO2 EAT NOODLE	You eat noodles in the morning.
1276	WHEN PT_PRO3 SLEEP Q	When Do they sleep in the afternoon?
1277	YESTERDAY PT_PRO2 EAT PIZZA Q	Did you eat pizza yesterday?
1278	NIGHT COACH DRINK JUICE Q	Does the coach drink juice at night?
1279	LAST-WEEK PT_PRO1 NOT STUDY	I did not study last week.
1280	LAST-WEEK PT_PRO3 NOT EMAIL NEIGHBOUR	They did not email my neighbour last week.
1281	TOMORROW PT_PRO3 READ BAG	They will read my bag tomorrow.
1282	MORNING MAN PRACTISE Q	Does the man practise in the morning?
1283	TOMORROW PT_PRO3 NOT READ CAR	They will not read a car tomorrow.
1284	NIGHT WOMAN COME GYM Q	Does the woman come to the gym at night?
1285	TODAY PT_PRO2 LISTEN MUSIC Q	Do you listen to music today?
1286	WEEKEND PT_PRO2 TEXT MUM Q	Do you text my mum on the weekend?
1287	LAST-WEEK PT_PRO1 SAD	I was sad last week.
1288	AFTERNOON PT_PRO3 WANT GO BEACH SOMETIMES	They want to go to the beach in the afternoon sometimes.
1289	NOW FRIEND NOT LISTEN MUSIC	My friend does not listen to music now.
1290	LAST-WEEK PT_PRO2 NOT DRINK COFFEE SOMETIMES	You did not drink coffee last week sometimes.
1291	LAST-WEEK PT_PRO3 NOT STUDY	They did not study last week.
1292	NIGHT NEIGHBOUR DRINK JUICE FAST Q	Does the neighbour drink juice at night quickly?
1293	YESTERDAY PT_PRO2 CLEAN	You cleaned yesterday.
1294	NEXT-WEEK PT_PRO2 NOT TRAIN SOMETIMES	You will not train next week sometimes.
1295	WHO PT_PRO2 HELP Q	Who Did you help last week?
1296	NEXT-WEEK DOCTOR SEE BOOK	The doctor will see a book next week.
1297	IF PT_PRO1 WALK THEN PT_PRO1 BAD	If I walk, then I am bad.
1298	PT_PRO1 NOT TEXT MUM	I do not text my mum.
1299	YESTERDAY NEIGHBOUR NOT SEE MESSAGE OFTEN	The neighbour did not see a message yesterday often.
1300	NIGHT PT_PRO1 MUST COME SHOP	I must come to the shop at night.
1301	AFTERNOON PT_PRO1 WANT NOT MEET COACH	I do not want to meet my coach in the afternoon.
1302	NEXT-WEEK WOMAN NOT GO SHOP	The woman will not go to the shop next week.
1303	WEEKEND COACH BUSY	The coach is busy on the weekend.
1304	AFTERNOON PT_PRO1 NOT COOK SOMETIMES	I do not cook in the afternoon sometimes.
1305	STUDENT NOT HELP DAD	The student does not help my dad.
1306	WHEN PT_PRO1 HELP NEIGHBOUR Q	When Do I help at night?
1307	YESTERDAY PT_PRO1 TEXT DAD ALWAYS	I texted my dad yesterday always.
1308	YESTERDAY PT_PRO3 CALL COACH	They called my coach yesterday.
1309	LAST-WEEK PT_PRO2 NOT CALL MUM	You did not call my mum last week.
1310	WEEKEND PT_PRO1 NOT BUY KEY	I do not buy my keys on the weekend.
1311	WHY PT_PRO2 STUDY Q	Why Do you study in the morning?
1312	TODAY PT_PRO3 CAN COME HOME	They can come to home today.
1313	MORNING PT_PRO2 WORK SOMETIMES Q	Do you work in the morning sometimes?
1314	TODAY PT_PRO1 MEET DAD	I meet my dad today.
1315	TODAY PT_PRO3 HELP MUM	They help my mum today.
1316	YESTERDAY PT_PRO3 SEE BAG	They saw my bag yesterday.
1317	YESTERDAY PT_PRO1 CALL DAD Q	Did I call my dad yesterday?
1318	NIGHT PT_PRO2 MEET TEACHER Q	Do you meet my teacher at night?
1319	NEXT-WEEK PT_PRO3 WALK	They will walk next week.
1320	NIGHT PT_PRO2 NOT WALK	You do not walk at night.
1321	LAST-WEEK NEIGHBOUR EMAIL FRIEND	The neighbour emailed my friend last week.
1322	TOMORROW PT_PRO2 MUST WALK	You must walk tomorrow.
1323	PT_PRO3 SAD	They are sad.
1324	TOMORROW NEIGHBOUR WORK Q	Will the neighbour work tomorrow?
1325	TODAY PT_PRO3 EAT PIZZA	They eat pizza today.
1326	PT_PRO1 CAN TEXT COACH	I can text my coach.
1327	MORNING STUDENT WANT STUDY SLOW	The student wants to study in the morning slowly.
1328	PT_PRO2 NOT TRAIN	You do not train.
1329	NIGHT PT_PRO3 EAT RICE	They eat rice at night.
1330	YESTERDAY FRIEND SLEEP	My friend slept yesterday.
1331	NIGHT PT_PRO2 NOT PRACTISE	You do not practise at night.
1332	NIGHT PT_PRO2 COOK	You cook at night.
1333	TOMORROW MAN WORK	The man will work tomorrow.
1334	TOMORROW COACH MUST PRACTISE SLOW	The coach must practise tomorrow slowly.
1335	TODAY FRIEND NOT EAT APPLE	My friend does not eat an apple today.
1336	YESTERDAY PT_PRO1 NOT COME SCHOOL	I did not come to school yesterday.
1337	WHEN FRIEND LISTEN MUSIC Q	When Did my friend listen last week?
1338	WHO PT_PRO1 HELP Q	Who Do I help?
1339	YESTERDAY PT_PRO1 PRACTISE	I practised yesterday.
1340	NIGHT PT_PRO2 COLD	You are cold at night.
1341	WEEKEND MAN NOT LISTEN MUSIC FAST	The man does not listen to music on the weekend quickly.
1342	NIGHT PT_PRO3 COOK	They cook at night.
1343	TOMORROW PT_PRO2 TRAIN	You will train tomorrow.
1344	NOW NEIGHBOUR STUDY	The neighbour studies now.
1345	NOW COACH NOT HELP FRIEND	The coach does not help my friend now.
1346	TODAY PT_PRO2 PRACTISE Q	Do you practise today?
1347	YESTERDAY PT_PRO1 DRINK JUICE	I drank juice yesterday.
1348	AFTERNOON PT_PRO3 SEE PHONE	They see my phone in the afternoon.
1349	NEXT-WEEK DOCTOR NOT RUN	The doctor will not run next week.
1350	YESTERDAY PT_PRO1 PRACTISE Q	Did I practise yesterday?
1351	WHO PT_PRO3 TEXT Q	Who Will they text next week?
1352	NIGHT PT_PRO1 RUN	I run at night.
1353	WEEKEND PT_PRO2 MUST NOT WORK ALWAYS	You must not work on the weekend always.
1354	MORNING DOCTOR SLEEP	The doctor sleeps in the morning.
1355	MORNING PT_PRO1 MUST SEE BAG	I must see my bag in the morning.
1356	IF PT_PRO1 GO BUS-STOP THEN PT_PRO1 BAD	If I go to the bus stop, then I am bad.
1357	PT_PRO1 WAKE-UP SLOW	I wake up slowly.
1358	TODAY PT_PRO2 WORK	You work today.
1359	LAST-WEEK PT_PRO2 READ PHONE FAST	You read my phone last week quickly.
1360	TODAY PT_PRO1 CAN TEXT NEIGHBOUR	I can text my neighbour today.
1361	NEXT-WEEK PT_PRO2 EMAIL DAD	You will email my dad next week.
1362	WHEN CHILD WALK Q	When Did the child walk yesterday?
1363	WHAT PT_PRO2 SEE Q	What Will you see tomorrow?
1364	TOMORROW PT_PRO3 DRINK TEA	They will drink tea tomorrow.
1365	NIGHT FRIEND WATCH MUSIC Q	Does my friend watch music at night?
1366	NEXT-WEEK MAN COME BUS-STOP FAST Q	Will the man come to the bus stop next week quickly?
1367	NEXT-WEEK PT_PRO3 BAD	They will be bad next week.
1368	PT_PRO2 NOT COME CITY	You do not come to the city.
1369	PT_PRO2 MEET TEACHER Q	Do you meet my teacher?
1370	IF PT_PRO1 RUN THEN PT_PRO1 BAD	If I run, then I am bad.
1371	WHAT CHILD WATCH Q	What Will the child watch tomorrow?
1372	LAST-WEEK PT_PRO3 NOT LISTEN MUSIC	They did not listen to music last week.
1373	NIGHT PT_PRO2 SLEEP	You sleep at night.
1374	MORNING STUDENT WALK	The student walks in the morning.
1375	MORNING PT_PRO2 NOT BUY MESSAGE	You do not buy a message in the morning.
1376	YESTERDAY NEIGHBOUR WATCH MUSIC	The neighbour watched music yesterday.
1377	WEEKEND PT_PRO2 NOT TEXT MUM	You do not text my mum on the weekend.
1378	NIGHT PT_PRO3 WAKE-UP	They wake up at night.
1379	WHERE PT_PRO3 GO Q	Where Do they go now?
1380	NOW PT_PRO2 SLEEP SOMETIMES Q	Do you sleep now sometimes?
1381	NEXT-WEEK PT_PRO3 STUDY	They will study next week.
1382	HOW PT_PRO1 RUN Q	How Did I run yesterday?
1383	WHAT PT_PRO2 LISTEN Q	What Do you listen now?
1384	LAST-WEEK PT_PRO2 SICK	You were sick last week.
1385	WHY PT_PRO1 STUDY Q	Why Did I study yesterday?
1386	HOW PT_PRO3 RUN Q	How Did they run yesterday?
1387	MORNING PT_PRO3 CALL TEACHER Q	Do they call my teacher in the morning?
1388	NOW FRIEND NOT TRAIN	My friend does not train now.
1389	NEXT-WEEK PT_PRO1 BUY KEY	I will buy my keys next week.
1390	TOMORROW PT_PRO2 MUST NOT EMAIL COACH	You must not email my coach tomorrow.
1391	TOMORROW PT_PRO1 DRINK TEA Q	Will I drink tea tomorrow?
1392	LAST-WEEK PT_PRO3 LISTEN MUSIC OFTEN	They listened to music last week often.
1393	NEXT-WEEK WOMAN WANT HELP DAD OFTEN Q	The woman wants to help my dad next week often?
1394	NIGHT PT_PRO1 DRINK JUICE Q	Do I drink juice at night?
1395	MORNING PT_PRO3 SLEEP SLOW	They sleep in the morning slowly.
1396	NEXT-WEEK PT_PRO2 CAN CALL COACH	You can call my coach next week.
1397	YESTERDAY STUDENT READ MONEY	The student read money yesterday.
1398	LAST-WEEK WOMAN BUY PHONE	The woman bought my phone last week.
1399	YESTERDAY PT_PRO2 SEE MONEY	You saw money yesterday.
1400	NIGHT PT_PRO3 LISTEN PODCAST Q	Do they listen to a podcast at night?
1401	WHERE PT_PRO3 GO Q	Where Do they go in the morning?
1402	WEEKEND PT_PRO3 HAPPY	They are happy on the weekend.
1403	TODAY WOMAN NOT PRACTISE SLOW	The woman does not practise today slowly.
1404	WEEKEND PT_PRO2 GOOD	You are good on the weekend.
1405	WHAT PT_PRO1 READ Q	What Do I read?
1406	MORNING PT_PRO2 NOT TEXT MUM	You do not text my mum in the morning.
1407	TODAY PT_PRO2 NOT PRACTISE	You do not practise today.
1408	LAST-WEEK PT_PRO1 CALL MUM	I called my mum last week.
1409	MORNING PT_PRO2 WANT CALL TEACHER	You want to call my teacher in the morning.
1410	PT_PRO1 WALK OFTEN	I walk often.
1411	LAST-WEEK PT_PRO2 RUN Q	Did you run last week?
1412	MORNING PT_PRO3 WAKE-UP Q	Do they wake up in the morning?
1413	TODAY PT_PRO2 CALL COACH	You call my coach today.
1414	MORNING TEACHER GO WORK	The teacher goes to work in the morning.
1415	WHO PT_PRO2 CALL Q	Who Did you call last week?
1416	PT_PRO2 WATCH PODCAST	You watch a podcast.
1417	YESTERDAY PT_PRO1 NOT READ MESSAGE	I did not read a message yesterday.
1418	PT_PRO3 CALL TEACHER	They call my teacher.
1419	WHAT TEACHER SEE Q	What Will the teacher see tomorrow?
1420	IF NEXT-WEEK STUDENT WORK THEN STUDENT SAD	If the student works, then the student is sad next week.
1421	NEXT-WEEK MAN WANT LISTEN MUSIC	The man wants to listen to music next week.
1422	NIGHT WOMAN WORK Q	Does the woman work at night?
1423	AFTERNOON TEACHER WALK	The teacher walks in the afternoon.
1424	TOMORROW NEIGHBOUR NOT HELP COACH	The neighbour will not help my coach tomorrow.
1425	LAST-WEEK PT_PRO1 LISTEN MOVIE	I listened to a movie last week.
1426	LAST-WEEK COACH SAD	The coach was sad last week.
1427	NOW PT_PRO2 NOT READ BAG	You do not read my bag now.
1428	WOMAN EMAIL TEACHER	The woman emails my teacher.
1429	YESTERDAY PT_PRO2 DRINK JUICE	You drank juice yesterday.
1430	NEXT-WEEK PT_PRO1 GO SHOP	I will go to the shop next week.
1431	TOMORROW STUDENT NOT SLEEP	The student will not sleep tomorrow.
1432	WHAT PT_PRO1 DRINK Q	What Will I drink tomorrow?
1433	TODAY PT_PRO1 NOT TRAIN	I do not train today.
1434	TODAY TEACHER COOK Q	Does the teacher cook today?
1435	WHO NEIGHBOUR CALL Q	Who Did the neighbour call last week?
1436	PT_PRO1 PRACTISE SLOW	I practise slowly.
1437	LAST-WEEK PT_PRO2 NOT BUY CAR	You did not buy a car last week.
1438	YESTERDAY PT_PRO2 CALL COACH	You called my coach yesterday.
1439	TODAY PT_PRO3 MUST NOT SLEEP	They must not sleep today.
1440	WEEKEND PT_PRO1 DRINK TEA Q	Do I drink tea on the weekend?
1441	NOW PT_PRO3 WAKE-UP	They wake up now.
1442	WHO PT_PRO2 EMAIL Q	Who Will you email tomorrow?
1443	TOMORROW WOMAN MUST NOT HELP DAD	The woman must not help my dad tomorrow.
1444	LAST-WEEK MAN EMAIL TEACHER	The man emailed my teacher last week.
1445	LAST-WEEK PT_PRO3 LISTEN MUSIC	They listened to music last week.
1446	NIGHT PT_PRO1 NOT MEET DAD	I do not meet my dad at night.
1447	NOW PT_PRO2 WAKE-UP	You wake up now.
1448	AFTERNOON COACH READ MONEY	The coach reads money in the afternoon.
1449	NOW PT_PRO1 COLD	I am cold now.
1450	NIGHT PT_PRO3 READ EMAIL Q	Do they read an email at night?
1451	NOW PT_PRO3 CAN SEE KEY Q	They can see my keys now?
1452	IF PT_PRO1 STUDY THEN PT_PRO1 BAD	If I study, then I am bad on the weekend.
1453	WHAT PT_PRO1 BUY Q	What Will I buy tomorrow?
1454	TOMORROW PT_PRO3 COLD	They will be cold tomorrow.
1455	MORNING PT_PRO1 NOT WALK	I do not walk in the morning.
1456	TOMORROW PT_PRO2 COME BEACH	You will come to the beach tomorrow.
1457	MORNING PT_PRO3 TRAIN	They train in the morning.
1458	NIGHT PT_PRO1 COOK FAST	I cook at night quickly.
1459	NOW PT_PRO3 RUN	They run now.
1460	AFTERNOON PT_PRO2 MUST NOT LISTEN PODCAST	You must not listen to a podcast in the afternoon.
1461	WHO PT_PRO3 EMAIL Q	Who Will they email next week?
1462	AFTERNOON TEACHER PRACTISE	The teacher practises in the afternoon.
1463	AFTERNOON PT_PRO2 EMAIL NEIGHBOUR Q	Do you email my neighbour in the afternoon?
1464	NOW PT_PRO1 HELP MUM Q	Do I help my mum now?
1465	LAST-WEEK PT_PRO2 PRACTISE SLOW Q	Did you practise last week slowly?
1466	PT_PRO2 WATCH MUSIC	You watch music.
1467	NEXT-WEEK PT_PRO1 NOT MEET COACH	I will not meet my coach next week.
1468	YESTERDAY PT_PRO3 WAKE-UP SOMETIMES	They woke up yesterday sometimes.
1469	MORNING PT_PRO2 READY	You are ready in the morning.
1470	NOW PT_PRO1 PRACTISE FAST Q	Do I practise now quickly?
1471	LAST-WEEK PT_PRO2 HELP FRIEND	You helped my friend last week.
1472	NIGHT STUDENT RUN	The student runs at night.
1473	WEEKEND PT_PRO3 NOT TRAIN	They do not train on the weekend.
1474	YESTERDAY DOCTOR STUDY	The doctor studied yesterday.
1475	NEXT-WEEK PT_PRO1 SEE CAR RARELY	I will see a car next week rarely.
1476	NIGHT PT_PRO1 CAN NOT TRAIN	I cannot train at night.
1477	NEXT-WEEK PT_PRO2 CAN CALL NEIGHBOUR Q	You can call my neighbour next week?
1478	AFTERNOON PT_PRO3 NOT WORK OFTEN	They do not work in the afternoon often.
1479	TOMORROW PT_PRO2 NOT RUN	You will not run tomorrow.
1480	PT_PRO2 WALK Q	Do you walk?
1481	TODAY PT_PRO1 STUDY	I study today.
1482	NOW PT_PRO2 GO SCHOOL	You go to school now.
1483	NEXT-WEEK PT_PRO2 NOT EMAIL TEACHER RARELY	You will not email my teacher next week rarely.
1484	PT_PRO3 HELP DAD	They help my dad.
1485	PT_PRO3 STUDY Q	Do they study?
1486	AFTERNOON PT_PRO3 RUN	They run in the afternoon.
1487	TOMORROW PT_PRO3 EAT FOOD	They will eat food tomorrow.
1488	WEEKEND PT_PRO3 SLEEP	They sleep on the weekend.
1489	AFTERNOON PT_PRO2 MUST COME HOME Q	You must come to home in the afternoon?
1490	WHEN PT_PRO3 SLEEP Q	When Did they sleep last week?
1491	LAST-WEEK PT_PRO1 WATCH MOVIE	I watched a movie last week.
1492	LAST-WEEK PT_PRO1 COOK Q	Did I cook last week?
1493	NIGHT PT_PRO1 CALL MUM	I call my mum at night.
1494	AFTERNOON PT_PRO1 MUST COOK FAST	I must cook in the afternoon quickly.
1495	TODAY PT_PRO2 WALK Q	Do you walk today?
1496	NIGHT PT_PRO3 NOT RUN	They do not run at night.
1497	HOW PT_PRO3 STUDY Q	How Do they study today?
1498	LAST-WEEK PT_PRO1 NOT TRAIN OFTEN	I did not train last week often.
1499	LAST-WEEK DOCTOR NOT LISTEN MOVIE	The doctor did not listen to a movie last week.
1500	NOW WOMAN WORK	The woman works now.
1501	NIGHT PT_PRO3 NOT TRAIN SOMETIMES	They do not train at night sometimes.
1502	NIGHT CHILD CLEAN	The child cleans at night.
1503	PT_PRO3 TRAIN OFTEN	They train often.
1504	WHO STUDENT HELP Q	Who Did the student help yesterday?
1505	PT_PRO1 EAT FOOD	I eat food.
1506	AFTERNOON PT_PRO3 SEE SHOES Q	Do they see shoes in the afternoon?
1507	WHY PT_PRO3 TRAIN Q	Why Do they train at night?
1508	TODAY PT_PRO1 MUST NOT TEXT DAD	I must not text my dad today.
1509	NIGHT PT_PRO2 SLEEP Q	Do you sleep at night?
1510	MORNING PT_PRO1 BAD	I am bad in the morning.
1511	TODAY PT_PRO1 SLEEP	I sleep today.
1512	WHERE PT_PRO3 GO Q	Where Did they go last week?
1513	TOMORROW PT_PRO3 CAN NOT BUY SHOES	They cannot buy shoes tomorrow.
1514	WEEKEND PT_PRO3 WANT EAT PIZZA	They want to eat pizza on the weekend.
1515	NOW PT_PRO3 CAN COOK ALWAYS	They can cook now always.
1516	WHY PT_PRO3 STUDY Q	Why Do they study in the afternoon?
1517	WEEKEND PT_PRO3 WAKE-UP	They wake up on the weekend.
1518	LAST-WEEK WOMAN NOT TEXT FRIEND	The woman did not text my friend last week.
1519	YESTERDAY PT_PRO1 WATCH PODCAST Q	Did I watch a podcast yesterday?
1520	MORNING PT_PRO1 NOT GO BEACH SLOW	I do not go to the beach in the morning slowly.
1521	LAST-WEEK PT_PRO3 READ KEY RARELY	They read my keys last week rarely.
1522	PT_PRO2 WALK	You walk.
1523	AFTERNOON TEACHER MUST CALL NEIGHBOUR	The teacher must call my neighbour in the afternoon.
1524	YESTERDAY PT_PRO3 NOT HELP TEACHER FAST	They did not help my teacher yesterday quickly.
1525	TOMORROW MAN NOT EMAIL FRIEND	The man will not email my friend tomorrow.
1526	WHO PT_PRO1 HELP Q	Who Did I help yesterday?
1527	TODAY MAN READ PHONE	The man reads my phone today.
1528	NIGHT PT_PRO2 HELP MUM	You help my mum at night.
1529	NOW PT_PRO2 HELP FRIEND Q	Do you help my friend now?
1530	TOMORROW TEACHER HOT	The teacher will be hot tomorrow.
1531	TOMORROW PT_PRO3 NOT READ BOOK	They will not read a book tomorrow.
1532	TOMORROW DOCTOR MUST TEXT DAD OFTEN	The doctor must text my dad tomorrow often.
1533	NEXT-WEEK PT_PRO2 NOT WAKE-UP	You will not wake up next week.
1534	WEEKEND PT_PRO1 EMAIL DAD	I email my dad on the weekend.
1535	WHY PT_PRO1 STUDY Q	Why Do I study in the morning?
1536	NEXT-WEEK PT_PRO2 WATCH MUSIC	You will watch music next week.
1537	YESTERDAY TEACHER NOT LISTEN PODCAST	The teacher did not listen to a podcast yesterday.
1538	YESTERDAY PT_PRO2 CALL MUM	You called my mum yesterday.
1539	NEXT-WEEK PT_PRO3 TIRED	They will be tired next week.
1540	YESTERDAY PT_PRO2 NOT GO WORK	You did not go to work yesterday.
1541	AFTERNOON PT_PRO3 DRINK TEA	They drink tea in the afternoon.
1542	NEXT-WEEK PT_PRO1 CAN READ PHONE	I can read my phone next week.
1543	AFTERNOON PT_PRO2 NOT TRAIN	You do not train in the afternoon.
1544	WOMAN WORK	The woman works.
1545	TOMORROW PT_PRO3 RUN SOMETIMES	They will run tomorrow sometimes.
1546	LAST-WEEK PT_PRO1 MEET TEACHER FAST Q	Did I meet my teacher last week quickly?
1547	AFTERNOON TEACHER NOT READ BOOK	The teacher does not read a book in the afternoon.
1548	LAST-WEEK PT_PRO1 MEET TEACHER	I met my teacher last week.
1549	NEXT-WEEK PT_PRO3 CLEAN Q	Will they clean next week?
1550	NEXT-WEEK STUDENT PRACTISE	The student will practise next week.
1551	MORNING CHILD WANT WALK	The child wants to walk in the morning.
1552	IF PT_PRO3 WORK THEN PT_PRO3 COLD	If they work, then they are cold yesterday.
1553	NEXT-WEEK CHILD NOT WATCH MOVIE	The child will not watch a movie next week.
1554	WHAT TEACHER LISTEN Q	What Did the teacher listen last week?
1555	NEXT-WEEK PT_PRO2 EMAIL TEACHER Q	Will you email my teacher next week?
1556	TODAY PT_PRO2 WANT TEXT DAD	You want to text my dad today.
1557	WHAT PT_PRO2 READ Q	What Did you read yesterday?
1558	MORNING PT_PRO1 WALK	I walk in the morning.
1559	NOW PT_PRO3 WORK	They work now.
1560	IF PT_PRO2 STUDY THEN PT_PRO2 SAD	If you study, then you are sad.
1561	YESTERDAY PT_PRO2 NOT BUY BAG	You did not buy my bag yesterday.
1562	WEEKEND PT_PRO1 CALL DAD	I call my dad on the weekend.
1563	WHEN COACH TEXT COACH Q	When Does the coach text today?
1564	NOW PT_PRO3 GO HOME	They go to home now.
1565	PT_PRO1 NOT READ MESSAGE SLOW	I do not read a message slowly.
1566	NEXT-WEEK TEACHER EMAIL NEIGHBOUR	The teacher will email my neighbour next week.
1567	LAST-WEEK PT_PRO1 NOT EAT APPLE	I did not eat an apple last week.
1568	NIGHT PT_PRO3 DRINK TEA	They drink tea at night.
1569	MORNING PT_PRO3 READ BOOK	They read a book in the morning.
1570	YESTERDAY MAN READY	The man was ready yesterday.
1571	MORNING PT_PRO1 WORK	I work in the morning.
1572	LAST-WEEK PT_PRO2 NOT COOK	You did not cook last week.
1573	AFTERNOON PT_PRO2 TEXT MUM	You text my mum in the afternoon.
1574	NEXT-WEEK PT_PRO2 WORK	You will work next week.
1575	WEEKEND PT_PRO3 NOT SEE BOOK SLOW	They do not see a book on the weekend slowly.
1576	AFTERNOON PT_PRO1 WATCH PODCAST	I watch a podcast in the afternoon.
